ID,ID_Trismegistos,ID_status,Name,Alternative_name,Family,Phylum,Earliest,Floruit,Latest,Issue,Attestation,Status,Region,Latitude,Longitude,Parent,Source,Relevance,Note
preg1200,,0,Pre-Greek,,,,,,,,,,Balkans,,,NA,,0,substratal?
pres1240,36,1,Pre-Samnite,Old Sabellic,Indo-European,Italic,,,,0,epigraphic,language,Italy,,,sabe1249,,1,
afro1255,,1,Proto-Afro-Asiatic,,Afro-Asiatic,,,,,,,,Africa,,,NA,,1,
anat1257,,1,Proto-Anatolian,,Indo-European,Anatolian,,,,,,,Anatolia,,,indo1319,,1,
grae1234,,1,Proto-Balkan,Proto-Graeco-Phrygian,Indo-European,Balkan,,,,,,,Balkans,,,indo1319,,1,
celt1248,,1,Proto-Celtic,,Indo-European,Celtic,,,,,,,W Europe,,,indo1319,,1,
germ1287,,1,Proto-Germanic,,Indo-European,Germanic,,-100,,,,,N Europe,,,indo1319,,1,"Holman 2011, 847"
indo1321,,1,Proto-Indo-Aryan,,Indo-European,Indo-Iranian,,-1900,,,,,Iran,,,indo1320,,1,"Holman 2011, 847"
indo1319,,1,Proto-Indo-European,,Indo-European,,,-3500,,,,,Steppe,,,NA,,1,"Holman 2011, 848"
indo1320,,1,Proto-Indo-Iranian,,Indo-European,Indo-Iranian,,-2400,,,,,Iran,,,indo1319,,1,"Holman 2011, 848"
iran1269,,1,Proto-Iranian,,Indo-European,Indo-Iranian,,-1900,,,,,Iran,,,indo1320,,1,"Holman 2011, 848"
ital1284,,1,Proto-Italic,,Indo-European,Italic,,-1500,,1,reconstructed,language,Italy,42.65,12.79,indo1319,van der Staaij (1995),1,
kart1248,,1,Proto-Karvelian,,Kartvelian,,,,,,,,Caucasus,,,NA,,,
nakh1245,,1,Proto-Northeast Caucasian,Nakh-Daghestanian,Northeast Caucasian,,,,,,,,,,,NA,,,
nubi1251,,1,Proto-Nubian,,Nilo-Saharan?,Nubian,,,,,,,Africa,,,NA,,,
sabe1249,,1,Proto-Sabellic,Osco-Umbrian,Indo-European,Italic,,,,0,reconstructed,language,Italy,,,ital1284,,1,
semi1276,,1,Proto-Semitic,,Afro-Asiatic,Semitic,,,,,,language,Arabia,,,afro1255,,1,
turk1311,,1,Proto-Turkic,,Turkic,,,-500,,,,,,,,NA,,,"Holman 2011, 852"
tyrr1200,,0,Proto-Tyrrhenian,Proto-Tyrsenian,Tyrrhenian,,,,,,,language,Italy,,,NA,,1,
puni1241,57; 72; 102,1,Punic,,Afro-Asiatic,Semitic,-600,,500,,,,Africa,36.53,10.36,semi1276,,1,
qata1238,4,1,Qatabanian,Qatabanic,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,sayh1236,,,
raet1238,58,1,Rhaetic,"Rhaetian, Raetic",Tyrrhenian,,,,,,,language,Italy,,,tyrr1200,,1,
olde1239,106; 59,1,Runic,Old Germanic/,Indo-European,Germanic,150,,800,,,,N Europe,,,germ1287,,,
saba1279,4,1,Sabaic,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,sayh1236,,,
safa1245,,1,Safaitic,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,anci1245,,,
sans1269,,1,Sanskrit,,Indo-European,Indo-Aryan,,,,,,,India,,,indo1321,,1,
saur1252,94,1,Sauraseni Prakrit,,Indo-European,Indo-Aryan,,,,,,,India,,,sans1269,,,
